Date,^NSEBANK,^NSEI
2025-04-16,53117.75,23437.19921875
2025-04-17,54290.19921875,23851.650390625
2025-04-21,55304.5,24125.55078125
2025-04-22,55647.19921875,24167.25
2025-04-23,55370.05078125,24328.94921875
2025-04-24,55201.3984375,24246.69921875
2025-04-25,54664.05078125,24039.349609375
2025-04-28,55432.80078125,24328.5
2025-04-29,55391.25,24335.94921875
2025-04-30,55087.1484375,24334.19921875
2025-05-02,55115.3515625,24346.69921875
2025-05-05,54919.5,24461.150390625
2025-05-06,54271.3984375,24379.599609375
2025-05-07,54610.8984375,24414.400390625
2025-05-08,54365.6484375,24273.80078125
2025-05-09,53595.25,24008.0
2025-05-12,55382.8515625,24924.69921875
2025-05-13,54940.8515625,24578.349609375
2025-05-14,54801.30078125,24666.900390625
2025-05-15,55355.6015625,25062.099609375
2025-05-16,55354.8984375,25019.80078125
2025-05-19,55420.69921875,24945.44921875
2025-05-20,54877.3515625,24683.900390625
2025-05-21,55075.1015625,24813.44921875
2025-05-22,54941.30078125,24609.69921875
2025-05-23,55398.25,24853.150390625
2025-05-26,55572.0,25001.150390625
2025-05-27,55352.80078125,24826.19921875
2025-05-28,55417.0,24752.44921875
2025-05-29,55546.05078125,24833.599609375
2025-05-30,55749.69921875,24750.69921875
2025-06-02,55903.3984375,24716.599609375
2025-06-03,55599.94921875,24542.5
2025-06-04,55676.8515625,24620.19921875
2025-06-05,55760.8515625,24750.900390625
2025-06-06,56578.3984375,25003.05078125
2025-06-09,56839.6015625,25103.19921875
2025-06-10,56629.1015625,25104.25
2025-06-11,56459.75,25141.400390625
2025-06-12,56082.55078125,24888.19921875
2025-06-13,55527.3515625,24718.599609375
2025-06-16,55944.8984375,24946.5
2025-06-17,55714.1484375,24853.400390625
2025-06-18,55828.75,24812.05078125
2025-06-19,55577.44921875,24793.25
2025-06-20,56252.8515625,25112.400390625
2025-06-23,56059.3515625,24971.900390625
2025-06-24,56461.8984375,25044.349609375
2025-06-25,56621.1484375,25244.75
2025-06-26,57206.69921875,25549.0
2025-06-27,57443.8984375,25637.80078125
2025-06-30,57312.75,25517.05078125
2025-07-01,57459.44921875,25541.80078125
2025-07-02,56999.19921875,25453.400390625
2025-07-03,56791.94921875,25405.30078125
2025-07-04,57031.8984375,25461.0
2025-07-07,56949.19921875,25461.30078125
2025-07-08,57256.30078125,25522.5
